"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"POSN000372","N/D","SCS1","Deputy Director","Deputy Director, Youth and Social Action Team","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Youth and Social Action Team","020 7211 6000","enquiries@culture.gov.uk","POSN000368","N/D","0.70","N/A","N/A","","","Job share","1"
"POSN000375","N/D","SCS1","Deputy Director","Deputy Director, Strategy and Partnership Team","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Strategy and Partnership Team","020 7211 6000","enquiries@culture.gov.uk","POSN000368","1439414","1.00","N/A","N/A","","","","1"
"POSN000368","David Knott","SCS2","Director","Director, Office for Civil Society","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Office for Civil Society","020 7211 6000","enquiries@culture.gov.uk","POSN002920","314605","0.94","90000","94999","","","Equivalent annual full time salary is £90,000 - £94,999","1"
"POSN000371","N/D","SCS1","Deputy Director","Deputy Director, Government Inclusive Economy","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Government Inclusive Economy","020 7211 6000","enquiries@culture.gov.uk","POSN000368","1365329","1.00","N/A","N/A","","","","1"
"POSN000653","N/D","SCS1","Deputy Director","Deputy Director, Strategy Governance and Projects","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Strategy Governance and Projects","020 7211 6000","enquiries@culture.gov.uk","POSN000652","834759","1.00","N/A","N/A","","","","1"
"POSN001253","N/D","SCS1","Deputy Director","Deputy Director, Creative Economy & Sector Deal (CESD)","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Creative Economy & Sector Deal (CESD)","020 7211 6000","enquiries@culture.gov.uk","POSN001209","664619","1.00","N/A","N/A","","","","1"
"POSN000318","N/D","SCS1","Deputy Director","Principal Private Secretary","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Private Office","020 7211 6000","enquiries@culture.gov.uk","POSN002920","1783485","1.00","N/A","N/A","","","","1"
"POSN000007","Helen Judge","SCS3","Director General","Director General, Performance and Strategy Group","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Performance and Strategy","020 7211 6000","enquiries@culture.gov.uk","POSN000001","N/D","1.00","120000","124999","","","Parental leave. Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN001207","N/D","SCS1","Deputy Director","Deputy Director, Spending Review","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Spending Review","020 7211 6000","enquiries@culture.gov.uk","POSN002607","N/D","1.00","N/A","N/A","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN000756","James Snook","SCS2","Director","Director, Cyber and Data","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Cyber and Data","020 7211 6000","enquiries@culture.gov.uk","POSN002404","682286","1.00","90000","94999","","","","1"
"POSN000110","N/D","SCS1","Deputy Director","Deputy Director, Museums","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Museums","020 7211 6000","enquiries@culture.gov.uk","POSN000054","708763","1.00","N/A","N/A","","","","1"
"POSN001927","N/D","SCS1","Deputy Director","Deputy Director, Digital Regulation and Markets","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Digital Regulation and Markets","020 7211 6000","enquiries@culture.gov.uk","POSN002809","722577","0.60","N/A","N/A","","","Job share","1"
"POSN001003","N/D","SCS1","Deputy Director","Deputy Director, Broadband Policy and Telecommunications Regulation","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Policy and Telecommunications Regulation","020 7211 6000","enquiries@culture.gov.uk","POSN000922","1051448","1.00","N/A","N/A","","","","1"
"POSN000922","James Heath","SCS2","Director","Director, Digital Infrastructure","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Digital Infrastructure","020 7211 6000","enquiries@culture.gov.uk","POSN002404","389629","1.00","120000","124999","","","","1"
"POSN001087","N/D","SCS1","Deputy Director","Deputy Director, Strategy Technology and Enterprise","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Strategy Technology and Enterprise","020 7211 6000","enquiries@culture.gov.uk","POSN002809","1521022","1.00","N/A","N/A","","","","1"
"POSN001173","N/D","SCS1","Deputy Director","Deputy Director, Trade and Digital Negotiations","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Trade and Digital Negotiations","020 7211 6000","enquiries@culture.gov.uk","POSN001138","N/D","1.00","N/A","N/A","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN000762","N/D","SCS1","Deputy Director","Deputy Director, Data Negotiation Hub","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Data Negotiation Hub","020 7211 6000","enquiries@culture.gov.uk","POSN000756","389098","1.00","N/A","N/A","","","","1"
"POSN000983","N/D","SCS1","Deputy Director","Deputy Director, Mobile Infrastructure and Spectrum","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Mobile Infrastructure and Spectrum","020 7211 6000","enquiries@culture.gov.uk","POSN000922","949257","1.00","N/A","N/A","","","","1"
"POSN000923","N/D","SCS1","Deputy Director","Deputy Director, 5G","Department for Culture, Media and Sport","Department for Culture, Media and Sport","5G","020 7211 6000","enquiries@culture.gov.uk","POSN000922","1865977","1.00","N/A","N/A","","","","1"
"POSN000677","N/D","SCS1","Deputy Director","Deputy Director, ALBs Public Appointments and Honours","Department for Culture, Media and Sport","Department for Culture, Media and Sport","ALBs Public Appointments and Honours","020 7211 6000","enquiries@culture.gov.uk","POSN000652","597704","1.00","N/A","N/A","","","","1"
"POSN000054","Emma Squire","SCS2","Director","Director, Arts, Heritage and Tourism","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Arts Heritage and Tourism","020 7211 6000","enquiries@culture.gov.uk","POSN002920","565597","1.00","90000","94999","","","","1"
"POSN001131","N/D","SCS1","Deputy Director","Deputy Director, Office for AI","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Office for AI","020 7211 6000","enquiries@culture.gov.uk","POSN002809","504072","1.00","N/A","N/A","","","","1"
"POSN000519","N/D","SCS1","Deputy Director","Deputy Director, Commonwealth Games","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Commonwealth Games","020 7211 6000","enquiries@culture.gov.uk","POSN000012","N/D","1.00","N/A","N/A","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN000518","N/D","SCS1","Deputy Director","Deputy Director, Commonwealth Games","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Commonwealth Games","020 7211 6000","enquiries@culture.gov.uk","POSN000012","N/D","1.00","N/A","N/A","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN001186","N/D","SCS1","Deputy Director","Deputy Director, EU Strategy","Department for Culture, Media and Sport","Department for Culture, Media and Sport","EU Strategy","020 7211 6000","enquiries@culture.gov.uk","POSN001138","1342941","1.00","N/A","N/A","","","","1"
"POSN000760","N/D","SCS1","Deputy Director","Deputy Director, Domestic Data Protection Policy","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Domestic Data Protection Policy","020 7211 6000","enquiries@culture.gov.uk","POSN000756","1254983","1.00","N/A","N/A","","","","1"
"POSN001048","Andrew Shields","SCS2","Director","Director, Digital and Technology Policy","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Digital and Technology Policy","020 7211 6000","enquiries@culture.gov.uk","POSN002404","N/D","1.00","90000","94999","","","Team too small to report salary costs, combined with post of reporting manager.","1"
"POSN001174","N/D","SCS1","Deputy Director","Deputy Director, International Strategy","Department for Culture, Media and Sport","Department for Culture, Media and Sport","International Strategy","020 7211 6000","enquiries@culture.gov.uk","POSN001138","610160","1.00","N/A","N/A","","","","1"
"POSN001209","Robert Specterman-Green","SCS2","Director","Director, Media and Creative Industries","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Media and Creative Industries","020 7211 6000","enquiries@culture.gov.uk","POSN002404","1158439","1.00","90000","94999","","","","1"
"POSN000651","Thomas Rodden","SCS2","Director","Chief Scientific Advisor","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Chief Scientific Advisor","020 7211 6000","enquiries@culture.gov.uk","POSN002404","N/D","0.80","120000","124999","","","Team too small to report salary costs, combined with post of reporting manager. Equivalent annual full time salary is £120,000 - £124,999","1"
"POSN000001","Sarah Healey","SCS4","Permanent Secretary","Permanent Secretary","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Permanent Secretary","020 7211 6000","enquiries@culture.gov.uk","XX","753448","1.00","160000","164999","","","","1"
"POSN000652","Anna Wechsberg","SCS2","Director","Director, Corporate Strategy","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Corporate Strategy","020 7211 6000","enquiries@culture.gov.uk","POSN002920","352711","1.00","95000","99999","","","","1"
"POSN000193","N/D","SCS1","Deputy Director","Deputy Director, Finance","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance","020 7211 6000","enquiries@culture.gov.uk","POSN002673","531117","1.00","N/A","N/A","","","","1"
"POSN000242","N/D","SCS1","Deputy Director","Deputy Director, Commercial","Department for Culture, Media and Sport","Department for Culture, Media and Sport","Commercial","020 7211 6000","enquiries@culture.gov.uk","POSN002673","405612","1.00","N/A","N/A","","","","1"
"POSN002655","N/D","SCS1","Deputy Director","Deputy Director, BDUK Commercial Team","Department for Culture, Media and Sport","Department for Culture, Media and Sport","BDUK Commercial Team","020 7211 6000","enquiries@culture.gov.uk","POSN002641","875311","1.00","N/A","N/A","","","","1"
