"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"CLG255","Not disclosed","SCS1","Deputy Director - Technical Policy Division","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG276","1369214","0.90","70000","74999","","","","1"
"CLG259","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Leave Of Absence","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","70000","74999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG260","Not disclosed","SCS1","Deputy Director - Holocaust Memorial Team","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG258","0","1.00","70000","74999","","","Salary report cost refers to less than 5 people so left at 0","1"
"CLG261","Not disclosed","SCS1","Deputy Director - Local Government Finance Settlement","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG136","832387","1.00","75000","79999","","","","1"
"CLG262","Not disclosed","SCS1","Deputy Director - Care and Reform","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG136","724130","0.81","75000","79999","","","","1"
"CLG263","Not disclosed","SCS1","Deputy Director - Local Taxation & Pensions","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG136","697221","1.00","75000","79999","","","","1"
"CLG264","Not disclosed","SCS1","Deputy Director - Local Government Finance","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Leave Of Absence","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","379371","1.00","70000","74999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG267","Not disclosed","SCS1","Deputy Director - Data Analytics and Statistics","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG266","1745001","1.00","80000","84999","","","","1"
"CLG268","Not disclosed","SCS1","Deputy Director - Local Policy Analysis","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG266","1467977","1.00","70000","74999","","","","1"
"CLG271","Not disclosed","SCS1","Deputy Director - Operational Delivery","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG372","7574680","1.00","90000","94999","","","","1"
"CLG280","Not disclosed","SCS1","Deputy Director - Organisational & People Development","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","364819","1.00","70000","74999","","","","1"
"CLG281","Not disclosed","SCS1","Deputy Director - Leadership, Talent & Change","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","1215780","1.00","70000","74999","","","","1"
"CLG288","Not disclosed","SCS1","Deputy Director - Records Management","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG285","571639","1.00","70000","74999","","","","1"
"CLG291","Not disclosed","SCS1","Deputy Director - Digital","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG285","2059658","1.00","105000","109999","","","","1"
"CLG293","Not disclosed","SCS1","Deputy Director - Grenfell Site & Community","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG373","602789","1.00","70000","74999","","","","1"
"CLG295","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","70000","74999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG300","Not disclosed","SCS1","Deputy Director - Outward Secondment","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG241","557225","0.90","75000","79999","","","Leave of Absence","1"
"CLG307","Not disclosed","SCS1","Deputy Director - Building Remediation","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG276","1587249","1.00","70000","74999","","","","1"
"CLG313","Not disclosed","SCS1","Deputy Director - Financial Reporting & Control","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG336","815221","0.76","85000","89999","","","","1"
"CLG316","Not disclosed","SCS1","Deputy Director - Building Safety Regulator","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG318","844271","1.00","75000","79999","","","","1"
"CLG319","Not disclosed","SCS1","Deputy Director - Regulatory Interventions","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG318","0","0.70","80000","84999","","","","1"
"CLG321","Not disclosed","SCS1","Deputy Director - Homelessness Strategy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG303","841048","1.00","70000","74999","","","","1"
"CLG324","Not disclosed","SCS1","Deputy Director - Rough Sleeping Accomodation","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG303","417897","0.90","70000","74999","","","","1"
"CLG325","Not disclosed","SCS1","Deputy Director - Housing Investment","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG241","1022241","0.65","70000","74999","","","","1"
"CLG329","Not disclosed","SCS1","Deputy Director - Housing Support","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG247","804805","1.00","70000","74999","","","","1"
"CLG330","Not disclosed","SCS1","Deputy Director - Insights Analysis","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG266","1811377","1.00","80000","84999","","","","1"
"CLG332","Not disclosed","SCS1","Deputy Director - Energy Performance of Buildings","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG276","1210867","1.00","70000","74999","","","","1"
"CLG333","Not disclosed","SCS1","Deputy Director - Local Government Strategy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG449","1251232","1.00","70000","74999","","","","1"
"CLG334","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Leave Of Absence","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","70000","74999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG335","Not disclosed","SCS1","Deputy Director - News and Digital","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG371","907978","1.00","80000","84999","","","","1"
"CLG337","Not disclosed","SCS1","Deputy Director - Net Zero","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Safer and Greener Buildings","0303 444 0000","contactus@communities.gsi.gov.uk","CLG407","0","1.00","70000","74999","","","","1"
"CLG339","Not disclosed","SCS1","Deputy Director - London SE & Housing Deals","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG305","1125728","1.00","75000","79999","","","","1"
"CLG343","Not disclosed","SCS1","Deputy Director - Local Gov Finance Reform & Pensions","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG136","1187557","1.00","70000","74999","","","","1"
"CLG344","Not disclosed","SCS1","Deputy Director - Changing Futures & Supporting Families","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG449","1117204","1.00","70000","74999","","","","1"
"CLG345","Not disclosed","SCS1","Deputy Director - Financial Reporting & Control","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG336","314078","0.70","70000","74999","","","","1"
"CLG346","Not disclosed","SCS1","Deputy Director - Housing Investment","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG241","0","0.65","70000","74999","","","","1"
"CLG348","Not disclosed","SCS1","Deputy Director - Financial Strategy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG336","474736","0.60","75000","79999","","","","1"
"CLG351","Not disclosed","SCS1","Deputy Director - Portfolio & Business Management","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG276","851115","1.00","75000","79999","","","","1"
"CLG353","Not disclosed","SCS1","Deputy Director - Finance & Performance - Local Gov&Growth","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG336","965149","0.90","70000","74999","","","","1"
"CLG354","Not disclosed","SCS1","Deputy Director - Homelessness Strategy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG303","0","1.00","N/A","N/A","","","Not on MHCLG Payroll. Salary report cost refers to less than 5 people so left at 0","1"
"CLG356","Not disclosed","SCS1","Deputy Director - Local Government & Communities","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG269","0","1.00","75000","79999","","","Salary report cost refers to less than 5 people so left at 0","1"
"CLG357","Not disclosed","SCS1","Deputy Director - LG Engagement","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG269","1534802","1.00","80000","84999","","","","1"
"CLG361","Not disclosed","SCS1","Deputy Director - Planning Policy and Reform","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Leave Of Absence","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","70000","74999","","","","1"
"CLG362","Not disclosed","SCS1","Deputy Director - Oxcam Corridor","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG305","1488891","1.00","75000","79999","","","","1"
"CLG364","Not disclosed","SCS1","Deputy Director - Net Zero","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG407","523156","1.00","75000","79999","","","","1"
"CLG365","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","70000","74999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG367","Not disclosed","SCS1","Deputy Director - Planning – Infrastructure","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG142","1298781","1.00","70000","74999","","","","1"
"CLG369","Not disclosed","SCS1","Deputy Director - Affordable Housing Reg & Investment","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG247","996797","1.00","75000","79999","","","","1"
"CLG370","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Leave Of Absence","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","90000","94999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG374","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Leave Of Absence","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","70000","74999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG375","Not disclosed","SCS1","Deputy Director - Public Inquiry Response Team","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG256","980254","1.00","70000","74999","","","","1"
"CLG377","Not disclosed","SCS1","Deputy Director - Resilience & Emergencies","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG256","4149436","1.00","100000","104999","","","","1"
"CLG380","Not disclosed","SCS1","Deputy Director - Public Sector Land","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG305","1333523","1.00","75000","79999","","","","1"
"CLG382","Not disclosed","SCS1","Deputy Director - Rough Sleeping","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG303","1874460","1.00","70000","74999","","","","1"
"CLG383","Not disclosed","SCS1","Deputy Director - Diversity & Inclusion","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","70000","74999","","","Salary report cost refers to less than 5 people so left at 0","1"
"CLG385","Not disclosed","SCS1","Deputy Director - Resilience: North & Flood Recovery","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG256","635696","1.00","70000","74999","","","","1"
"CLG386","Not disclosed","SCS1","Deputy Director - Local Economies Contingency Team","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG372","542449","1.00","75000","79999","","","","1"
"CLG387","Not disclosed","SCS1","Deputy Director - Leasehold Reform","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG350","1386781","1.00","70000","74999","","","","1"
"CLG388","Not disclosed","SCS1","Deputy Director - Housing and Vulnerable People Response","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG437","0","1.00","85000","89999","","","Salary report cost refers to less than 5 people so left at 0","1"
"CLG391","Not disclosed","SCS1","Deputy Director - Housing Delivery","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG237","0","1.00","70000","74999","","","","1"
"CLG392","Not disclosed","SCS1","Deputy Director - Financial Strategy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG336","0","0.60","80000","84999","","","","1"
"CLG393","Not disclosed","SCS1","Deputy Director - Risk","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG338","434963","1.00","95000","99999","","","","1"
"CLG394","Not disclosed","SCS1","Deputy Director - Commercial","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG355","0","1.00","N/A","N/A","","","Indirectly employed and not on MHCLG Payroll","1"
"CLG395","Not disclosed","SCS1","Deputy Director - Rough Sleeping Taskforce","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Leave Of Absence","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","75000","79999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG397","Not disclosed","SCS1","Deputy Director - Commercial - Procurement","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG355","236708","1.00","N/A","N/A","","","Not on MHCLG Payroll","1"
"CLG398","Not disclosed","SCS1","Deputy Director - Commercial","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG355","0","1.00","N/A","N/A","","","Indirectly employed and not on MHCLG Payroll. Salary report cost refers to less than 5 people so left at 0","1"
"CLG399","Not disclosed","SCS1","Deputy Director - Regulatory Competence","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG318","882261","0.90","70000","74999","","","","1"
"CLG400","Not disclosed","SCS1","Deputy Director - Grenfell Site Programme","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG373","834389","1.00","70000","74999","","","","1"
"CLG402","Not disclosed","SCS1","Deputy Director - Planning - Development Plans","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG142","1397073","1.00","75000","79999","","","","1"
"CLG403","Not disclosed","SCS1","Deputy Director - Finance & Performance - Housing","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG336","1033029","1.00","70000","74999","","","","1"
"CLG404","Not disclosed","SCS1","Deputy Director - Grenfell Site & Programme","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG373","369048","1.00","105000","109999","","","","1"
"CLG405","Not disclosed","SCS1","Deputy Director - Strategy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG436","499943","1.00","70000","74999","","","","1"
"CLG406","Not disclosed","SCS1","Deputy Director - Housing Strategy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG241","786304","1.00","80000","84999","","","","1"
"CLG413","Not disclosed","SCS1","Deputy Director - Cities and Local Growth","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG372","569689","0.92","70000","74999","","","SCS on leave of absence but remains working in MHCLG","1"
"CLG414","Not disclosed","SCS1","Deputy Director - Private Rented Sector","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG350","1692209","1.00","75000","79999","","","","1"
"CLG416","Not disclosed","SCS1","Deputy Director - Planning Policy and Reform","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG142","1212649","1.00","70000","74999","","","","1"
"CLG417","Not disclosed","SCS1","Deputy Director - Planning Reform","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG142","396582","1.00","70000","74999","","","","1"
"CLG418","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","70000","74999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG419","Not disclosed","SCS1","Deputy Director - Faith, Integration and Communities","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG269","1908608","1.00","70000","74999","","","","1"
"CLG420","Not disclosed","SCS1","Deputy Director - Financial Remediation & Residents","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG318","927766","1.00","70000","74999","","","","1"
"CLG421","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Leave Of Absence","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","70000","74999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG422","Not disclosed","SCS1","Deputy Director - Digital","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG285","1436399","1.00","70000","74999","","","","1"
"CLG423","Not disclosed","SCS1","Deputy Director - Local Government Spending Review","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG136","583590","1.00","70000","74999","","","","1"
"CLG424","Not disclosed","SCS1","Deputy Director - Social Housing","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG247","774344","1.00","70000","74999","","","","1"
"CLG425","Not disclosed","SCS1","Deputy Director - Housing and Vulnerable People Response","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG437","1046372","1.00","70000","74999","","","","1"
"CLG426","Not disclosed","SCS1","Deputy Director - Strategic Communications","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG371","1715178","1.00","70000","74999","","","","1"
"CLG427","Not disclosed","SCS1","Deputy Director - LG Stewardship","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG449","1913398","1.00","70000","74999","","","","1"
"CLG428","Not disclosed","SCS1","Deputy Director - Building Remediation","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG318","0","1.00","N/A","N/A","","","Indirectly employed and not on MHCLG Payroll","1"
"CLG432","Not disclosed","SCS1","Deputy Director - Institutions, Engagement and Operations","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG436","1227389","1.00","75000","79999","","","","1"
