"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1573670","N/D","OF-6","Head of Capability Special Projects","Responsible for the delivery of Defence-wide capability solutions to the MCB related to the ability to deliver; precise, agile and timely effects worldwide for Special Forces; specialist military capability to counter the threat from terrorist weapons and conduct explosive ordnance disposal; and to enhance survivability and reduce degradation of individuals and equipment from CBRN threats .","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 58824","JFC-CAP-DIR-COS@mod.uk","1719611","0","1.00","N/A","N/A","","Military","","1"
"1617367","N/D","OF-6","Assistant Chief of Staff Personnel/Admin & Logistics (J1/J4)","Responsible for Personnel, Admin, Medical and Logistics in PJHQ","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1708116","0","1.00","N/A","N/A","","Military","","1"
"1641376","N/D","OF-6","Head Defence Intelligence Operations","The Head of the Defence Intelligence Operations is responsible for the coordination of intelligence support to MOD decision-making for current and planned operations, and is DI's primary link to MOD, OGDs and PJHQ for operational issues.s.","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 721 80600","DI RES-HD@MOD.UK","105515","0","1.00","N/A","N/A","","Military","","1"
"1853189","N/D","OF-6","Head of Medical Strategy and Policy","This post is a member of the senior executive team with the HQ Surgeon General and HQ Joint Medical Command.  As such the post is required to oversee medical policy within the MoD, manage resources and support the Surgeon General in his role as Process Owner for Defence Healthcare and the Provider of Medical Operational Capability.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01543 434250","SGSecFin-SecGpMailbox@mod.uk","1813739","0","1.00","N/A","N/A","","Military","","1"
"1853137","N/D","OF-6","Commander Defence Medical Group","This post is a member of the senior executive team with the HQ Surgeon General and HQ Joint Medical Command.  As such the post is required to oversee medical policy within the MoD, manage resources and support the Surgeon General in his role as Process Owner for Defence Healthcare and the Provider of Medical Operational Capability.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01543 434603","SGSecFin-SecGpMailbox@mod.uk","1866240","0","1.00","N/A","N/A","","Military","","1"
"1659820","N/D","OF-6","Medical Director","This post is a member of the senior executive team with the HQ Surgeon General and HQ Joint Medical Command.  As such the post is required to oversee medical policy within the MoD, manage resources and support the Surgeon General in his role as Process Owner for Defence Healthcare and the Provider of Medical Operational Capability.","Ministry of Defence","Ministry of Defence","Joint Forces Command","0121 415 8882","SGSecFin-SecGpMailbox@mod.uk","1813739","0","1.00","N/A","N/A","","Military","","1"
"1731226","N/D","OF-6","Head Defence Logistic Operations and Capability","Head of Defence Logistic Operations and Capability has 2 primary outputs: firstly, the provision of strategic military logistics advice to DCMO for contingent and current operations, logistics input to MoD directives and policies and international logisti","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1726617","0","1.00","N/A","N/A","","Military","","1"
"1731235","N/D","OF-6","Head Defence Logistic Policy","To provide coherent, timely and expert logistics advice and direction through the development and assurance of the E2E Logistics Enterprise in order to maximise the freedom of action of operational commanders","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1726617","0","1.00","N/A","N/A","","Military","","1"
"1775582","N/D","OF-6","ISS Head of Operate and Defend","Operate and Defend runs ICT network operations and cyber defence from the Global Operations and Security Control Centre (GOSCC)  in Corsham.  They transition new services into the live environment and then operate them for users in fixed and deployed locations in conjunction with suppliers.  The GOSCC also covers Joint Cyber Unit (Corsham) and the  MoD Computer Emergency Response Team.","Ministry of Defence","Ministry of Defence","Joint Forces Command","02072182636","ISSHQ-MB-GROUPMAILBOX@MOD.UK","1870852","0","1.00","N/A","N/A","","Military","","1"
"1901008","N/D","OF-6","Head of C4ISR Joint User","MOD operations adviser, military planning, direction and prioritisation of joint communication systems","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 721 80600","DI RES-HD@MOD.UK","1717924","0","1.00","N/A","N/A","","Military","","1"
"1058655","N/D","OF-6","Assistant Chief of Staff Communications (J6)","Responsible for Communications and Information Systems.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1708116","0","1.00","N/A","N/A","","Military","","1"
"1239190","N/D","OF-6","DEFAC-CMT Technology School Head","Head of Centre For Defence Acquisition And Technology within the College of Management and Technology","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","1758283","0","1.00","N/A","N/A","","Military","","1"
"1589538","N/D","OF-6","Commander British Forces South Atlantic Islands","Commander British Forces South Atlantic Islands","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1612403","0","1.00","N/A","N/A","","Military","","1"
"1617527","N/D","OF-6","Joint Commands and Overseas Support Chief of Staff","Chief of Staff - British Forces Cyprus","Ministry of Defence","Ministry of Defence","Joint Forces Command","00357 25963101","BFC-HQ-CmdGp-COS@mod.uk","1612403","0","1.00","N/A","N/A","","Military","","1"
"1664232","N/D","OF-6","Inspector General","This post is a member of the senior executive team with the HQ Surgeon General and HQ Joint Medical Command.  As such the post is required to oversee medical policy within the MoD, manage resources and support the Surgeon General in his role as Process Owner for Defence Healthcare and the Provider of Medical Operational Capability.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01543 434620","SGSecFin-SecGpMailbox@mod.uk","1853147","0","1.00","N/A","N/A","","Military","","1"
"1714760","N/D","OF-6","Deputy Director Joint Warfare","Joint Warfare’s role is to enable the Joint Force to operate effectively now and in the future.  To do that Joint Warfare defines, measures and validates the Joint Force capabilities and formations required to meet current, contingent and emerging threats; ensures coherence across Defence, through capability oversight, training, exercises (including  validation/certification), force development and the application of lessons.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1688878","0","1.00","N/A","N/A","","Military","","1"
"1729971","N/D","OF-6","Commander Joint Forces Intelligence Group","Commander Joint Forces Intelligence Group (JFIG) delivers global intelligence, information, services and force elements to Defence, including deployed forces and to OGD and international partners, underpinning strategic to tactical level decision-making and action in order to support the achievements of Defence objectives. This is delivered through its constituent Units (JAGO, DGIFC, DGC, JSSO and DHO).","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 721 80600","DI RES-HD@MOD.UK","1717924","0","1.00","N/A","N/A","","Military","","1"
"1732488","N/D","OF-6","Head of Capability C4ISR","Responsible for the delivery of Defence-wide capability solutions to the ability to command, inform and manage the battle and business space collaboratively from the strategic functions of the Department of State to individual military platforms over a defence-wide network and for intelligence, surveillance and reconnaissance capabilities","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 58824","JFC-CAP-DIR-COS@mod.uk","1719611","0","1.00","N/A","N/A","","Military","","1"
"1866240","AVM Richard Broadbridge","OF-7","Director Healthcare Delivery and Training","This post is a member of the senior executive team with the HQ Surgeon General.  As such the post is required to oversee medical policy within the MoD, manage resources and support the Surgeon General in his role as Process Owner.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01545 434728","SGSecFin-SecGpMailbox@mod.uk","1853147","0","1.00","150000","154999","","Military","","1"
"1749488","N/D","OF-6","Head of Healthcare Education and Training (and Defence Dean)","This post is a member of the senior executive team with the HQ Surgeon General.  As such the post is required to oversee medical policy within the MoD, manage resources and support the Surgeon General in his role as Process Ow","Ministry of Defence","Ministry of Defence","Joint Forces Command","01543 434273","SGSecFin-SecGpMailbox@mod.uk","1866240","0","1.00","N/A","N/A","","Military","","1"
"1758547","N/D","OF-6","DCDC Head of Futures and Maritime","Director Concepts & Doctrine’s Senior Advisor on all Futures, Maritime and Royal Navy issues.  Oversees all DCDC Futures work and Royal Navy and Maritime conceptual and doctrinal products until final endorsement.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","1757939","0","1.00","N/A","N/A","","Military","","1"
"1758885","N/D","OF-6","DEFAC-JSCSC Army Division Director","Head of the Army training course within the Joint Services Command and Staff College","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","1062997","0","1.00","N/A","N/A","","Military","","1"
"1760997","N/D","OF-6","DCDC Head of Doctrine, Air and Space","Director Concepts & Doctrine’s Senior Advisor on all Doctrine, Air, Space and Royal Air Force issues.  Oversees all DCDC Doctrine work and Royal Air Force and Air & Space conceptual and doctrinal products until final endorsement.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","1757939","0","1.00","N/A","N/A","","Military","","1"
"1766775","N/D","OF-6","DCDC Head of Land and Research","Director Concepts & Doctrine’s Senior Advisor on all Research, Land and Army issues.  Oversees all DCDC Research work in support of Joint concepts and doctrine, and DCDC Army and Land conceptual and doctrinal products until final endorsement","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","1757939","0","1.00","N/A","N/A","","Military","","1"
"1773904","N/D","OF-6","Commander Defence Primary Healthcare","This post is a member of the senior executive team with the HQ Surgeon General.  As such the post is required to oversee medical policy within the MoD, manage resources and support the Surgeon General in his role as Process Ow","Ministry of Defence","Ministry of Defence","Joint Forces Command","01543 434731","SGSecFin-SecGpMailbox@mod.uk","1866240","0","1.00","N/A","N/A","","Military","","1"
"1062997","Maj Gen Julian Free","OF-7","DEFAC JSCSC HQ Commandant","Head of the Joint Services Command and Staff College at the Defence Academy","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793785426","DEFAC-HQCHFCLK@mod.uk","1778639","0","1.00","120000","124999","","Military","","1"
"1612403","AVM Mike Wigston","OF-7","Commander British Forces Cyprus","Commander British Forces Cyprus","Ministry of Defence","Ministry of Defence","Joint Forces Command","00357 25963552","BFC-HQ-CmdGp-CBF@mod.uk","1926203","0","1.00","110000","114999","","Military","","1"
"1688878","Maj Gen Craig Lawrence","OF-7","Director Joint Warfare","To provide coherent, timely and expert logistics advice and direction in support of Departmental Plans and current and contingent operations; and bring coherence and consistency to the development of Defence Logistics Policy; in order to maximise the freedom of action of operational commanders and to assure the E2E Logistics Enterprise.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1926203","0","1.00","110000","114999","","Military","","1"
"1708116","AVM Stuart Atha","OF-7","Chief of Staff (Operations)","Deputy to CJO.  Responsible for executing CJO’s primary role - the planning and execution of operations.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1751494","0","1.00","120000","124999","","Military","","1"
"1717924","Maj Gen Jim Hockenhull","OF-7","Director Cyber, Intelligence and Information Integration","Dir CI3 is responsible for integration of C4ISR and cyber operations and capability, exercising Defence and Joint User Authority on behalf of Commander JFC, in order to give UK Government, British Military and Allied Decision Makers an Information Advantage.","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 721 80600","DI RES-HD@MOD.UK","1058711","0","1.00","115000","119999","","Military","","1"
"1719611","Maj Gen John Patterson","OF-7","Director Capability Joint Forces Command","D Cap is responsible for delivering a balanced, coherent, taut and realistic Joint Capability Strategy and with D Res and COS JFC, they deliver the balanced, coherent, taut and realistic Joint Capability Portfolio.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 58824","JFC-CAP-DIR-COS@mod.uk","1926203","0","1.00","110000","114999","","Military","","1"
"1813739","Maj Gen Martin Bricknell","OF-7","Director Medical Policy and Operational Capability","This post is a member of the senior executive team with the HQ Surgeon General.  As such the post is required to oversee medical policy within the MoD, manage resources and support the Surgeon General in his role as Process Ow","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 7807 0469","SGSecFin-SecGpMailbox@mod.uk","1853147","0","1.00","150000","154999","","Military","","1"
"1724711","N/D","OF-7","DEFAC-RCDS-SDS-A","Deputy Commandant & Senior Directing Staff (A)","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","116270","0","1.00","115000","119999","","Military","Name withheld","1"
"1726617","Maj Gen Angus Fay","OF-7","Assistant Chief of Defence Staff (Logistic Operations)","To provide coherent, timely and expert logistics advice and direction in support of Departmental Plans and current and contingent operations; and bring coherence and consistency to the development of Defence Logistics Policy; in order to maximise the freedom of action of operational commanders and to assure the E2E Logistics Enterprise.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1926203","0","1.00","110000","114999","","Military","1RO 1055683 (HOCS TLB)","1"
"1926186","R Adm Tony Radakin","OF-7","Chief of Staff Joint Forces Command","Coordinates the outputs of the new organisation. Acts as TLB focus for Permanent Joint Operating Bases, is the Chief Information Officer for JFC, the Senior Security Risk manager and the JFC member of the Defence Environment and Safety Board.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1926203","0","1.00","110000","114999","","Military","","1"
"1757939","R Adm John Kingwell","OF-7","Director Concepts and Doctrine","This post is director of concepts and doctrine","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","1926203","0","1.00","115000","119999","","Military","","1"
"1758283","Mark Alexander","SCS2","DEFAC HQ Operations Director","Head of the College of Management and Technology at the Defence Academy","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793785426","DEFAC-HQCHFCLK@mod.uk","1778639","0","1.00","100000","104999","","Human Resources","","1"
"1751494","Lt Gen John Lorimer","OF-8","Chief of Joint Operations","CJO is to exercise operational command of UK forces assigned to overseas joint and combined operations; and to provide politically aware military advice to the MOD in order to achieve MOD UK’s strategic objectives on operations.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1926203","0","1.00","145000","149999","","Military","","1"
"1058711","AM Philip Osborn","OF-8","Chief of Defence Intelligence","MOD principal adviser on strategic Defence Intelligence issues. Process owner for Defence Intelligence.  Defence Authority for C4ISR and Cyber","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 721 80600","DI RES-HD@MOD.UK","1926203","0","1.00","135000","139999","","Military","","1"
"1853147","Surg V Adm Alasdair Walker","OF-8","Surgeon General","This post is HQ Surgeon General and his role is the Process Owner for Defence Healthcare and the Provider of Medical Operational Capability.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01543 434633","SGSecFin-SecGpMailbox@mod.uk","1926203","0","1.00","130000","134999","","Military","","1"
"33011","N/D","OF-6","ISS Head of Deployed Platform Services","The role of the team is to deliver a portfolio of projects; as allocated by the ISS PMO developing IT ""platform"" services to the Deployed environment for Joint and Single Service users as part of Defence as a Platform (DaaP); Military operational services to users in both the static ""Base"" and mobile ""Deployed"" environments; Above Secret services in both Base and Deployed environments; Secure interoperability of information services with Allies; Other projects as allocated by the ISS PMO; Planning and coordination of projects delivering DaaP(Deployed) services.Deployed Platform Services (DPS) delivers a NSoIT (Deployed) service portfolio along with other legacy projects that will shapre the services required by Defence and continue to provide assured services.  DPS plays a key role in supporting the DCNS ICT Acquisition Change Programme and transitioning services into the DCNS framework and will support Defence Transformation as the plans mature.","Ministry of Defence","Ministry of Defence","Joint Forces Command","02072182636","ISSHQ-MB-GROUPMAILBOX@MOD.UK","33009","0","1.00","N/A","N/A","","Knowledge and Information Management (KIM)","","1"
"34282","N/D","SCS1","ISS Head of Security Infrastructure","Security Infrastructure is one of the Delivery Teams in the Service Development Pillar of Information Systems and Services (ISS) which is part of the Joint Forces Command (JFC) in the Ministry of Defence.

The Security Infrastructure (Sy Infra) team is responsible for developing new services or modifying existing services that protect defence information. These services currently include the provision of cryptographic capabilities and defensive cyber services. Sy Infra is working with the ISS Design and Operate Pillars to determine what additional information security services are required including those services that will support delivery of ‘Defence As A Platform’.","Ministry of Defence","Ministry of Defence","Joint Forces Command","02072182636","ISSHQ-MB-GROUPMAILBOX@MOD.UK","33009","0","1.00","N/A","N/A","","Knowledge and Information Management (KIM)","","1"
"206768","N/D","SCS1","ISS Head of Application Services","The ASDT team has a number of strategic objectives, being - defining and procuring the Defence as a Platform hosting service for the many applications hosted outside of DII, providing cloud-based, pay as you go hosting services; developing a platform for Defence applications to move to the cloud, effectively a collection of DevOps containers that applications can be rapidly on-boarded into; developing Agile Process, and Agile Development skills and capabilities within Defence; and finally running a number of major applications programmes, including Cortisone/MedIS, FAHE, DLMC, IdAM, and C2/OEHE.","Ministry of Defence","Ministry of Defence","Joint Forces Command","02072182636","ISSHQ-MB-GROUPMAILBOX@MOD.UK","33009","0","1.00","N/A","N/A","","Information Technology","MPS in SCS1 post","1"
"70503","N/D","SCS1","DEFAC-CMT Nuclear Department Head","Head of the Nuclear Division within the College of Management and Technology","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","1758283","0","1.00","N/A","N/A","","Policy","","1"
"94113","N/D","SCS1","Chief Officer of the Sovereign Base Areas Administration","Chief Officer of the Sovereign Base Areas Administration","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","1612403","0","1.00","N/A","N/A","","Policy","","1"
"94536","Vacant","SCS1","Assistant Chief of Staff Policy, Legal & Media Operations (J9)","Responsible for Policy, Legal & Media Operations","Ministry of Defence","Ministry of Defence","Joint Forces Command","N/A","N/A","198582","0","1.00","N/A","N/A","","Policy","","1"
"105516","N/D","SCS1","Head of Defence Intelligence Strategic Assessments","Head of Defence Intelligence Strategic Assessments is responsible for the provision of intelligence assessments on military and political issues, strategic warning and other developments in regions of interest world-wide and is Head of the Analytical profession within Defence. In addition, DI SA is the Operational Role Owner for civilian intelligence analysts deployed on operations.","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 721 80593","DI RES-HD@MOD.UK","105515","0","1.00","N/A","N/A","","Policy","","1"
"105517","N/D","SCS1","Head of Defence Intelligence Capability Assessments","DI Capability Assessments (DI CA) has a diverse team of civilian and military analysts who are qualified engineers, scientists, operators and intelligence analysts with experience in research, development and military matters. The division is structured into six branches that deliver Capability Assessments as follows: 4 environmental (Maritime/Land/Air & Space and Cyber); one thematic (Missiles, Science & Technology), and one functional branch to deliver Special Projects.","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 721 80593","DI RES-HD@MOD.UK","105515","0","1.00","N/A","N/A","","Policy","","1"
"111794","N/D","SCS1","ISS Head of Defence Assurance and Information Security","To enable Defence through the provision of specialist Assurance and Information Security Services","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 721 82636","ISSHQ-MB-GROUPMAILBOX@MOD.UK","1915081","0","1.00","N/A","N/A","","Knowledge and Information Management (KIM)","","1"
"206724","N/D","SCS1","ISS Head of Innovation","The Head of Innovation works directly to the Director Service Design, as a core part of the leadership team, to help deliver the transformation programme and lead ISS into a new era. Hd Innovation engages with stakeholders to implement innovative solutions across the ISS portfolio of services and products. He will work with stakeholders across the business and battle-space to assess the portfolio for opportunities for success and seize opportunities seen in the market, supporting ideas through all stages from conceptualisation of innovation to delivery ensuring the delivery of ISS Services and Products that customers love. The innovation will range from incremental to disruptive, but always deliverable and operational. He is the champion of technology innovation and change, working with innovation stakeholders across the business, creating a spirit and culture of collaboration and innovation.
The Head of Innovation works directly to the Director Service Design, as a core part of the leadership team, to help deliver the transformation programme and lead ISS into a new era. Hd Innovation engages with stakeholders to implement innovative solutions across the ISS portfolio of services and products. He will work with stakeholders across the business and battle-space to assess the portfolio for opportunities for success and seize opportunities seen in the market, supporting ideas through all stages from conceptualisation of innovation to delivery ensuring the delivery of ISS Services and Products that customers love. The innovation will range from incremental to disruptive, but always deliverable and operational. He is the champion of technology innovation and change, working with innovation stakeholders across the business, creating a spirit and culture of collaboration and innovation.","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 721 82636","ISSHQ-MB-GROUPMAILBOX@MOD.UK","1915081","0","1.00","N/A","N/A","","Information Technology","MPS in SCS1 post - JPA post ref number used","1"
"149898","N/D","SCS1","SG Head of Secretariat & Finance","This post is a member of the senior executive team with the HQ Surgeon General and HQ Joint Medical Command.  As such the post is required to oversee medical policy within the MoD, manage resources and support the Surgeon General in his role as Process Owner for Defence Healthcare and the Provider of Medical Operational Capability.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01543 434187","SGSecFin-SecGpMailbox@mod.uk","1853147","0","1.00","N/A","N/A","","Policy","","1"
"171528","N/D","SCS1","Deputy Director Policy Joint Forces Command","Responsible for support to the Joint Forces Command Board; civilian HR and corporate services delivery across Joint Forces Command, and policy and finance for the Permanent Joint Operating Bases, acting as Senior Finance Officer for a budget of around £350M.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","94472","0","1.00","N/A","N/A","","Policy","","1"
"182746","N/D","SCS1","Head of Defence Intelligence Resources","The Head of Defence Intelligence Resources provides corporate planning and control for Defence Intelligence.  This role includes leading the Executive Board in setting business strategy, and providing robust performance management, reporting and governance.  In addition, DI Res is responsible for finance, civilian personnel issues, health and safety, security, business continuity and the DI Business Change programme.  DI Res also provides a Secretariat, dealing with parliamentary and ministerial business, corporate disclosure and communications issues.","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 721 80593","DIRES-SEC3@MOD.UK","105515","0","1.00","N/A","N/A","","Policy","","1"
"183178","N/D","SCS1","Head of Defence Intelligence Counter Proliferation","The Defence Intelligence Counter-Proliferation (DI CP) team is a national centre of excellence that provides advice on technology, programmes, and enforcement.  DI CP is the UK’s all-source analytical capability for global WMD developments including associated technologies, financing, and means of delivery; and associated regional proliferation hubs and networks.  DI CP supports national Export Control mechanisms; and provides insights into activity aimed at the circumvention of national CP policy, arms control treaties, and international Export Control regimes.","Ministry of Defence","Ministry of Defence","Joint Forces Command","020 721 80593","DIRES-SEC3@MOD.UK","105515","0","1.00","N/A","N/A","","Policy","","1"
"184002","N/D","SCS1","SG Head of Strategic Planning and Business Management","This post is a member of the senior executive team with the HQ Surgeon General.  As such the post is required to oversee medical policy within the MoD, manage resources and support the Surgeon General in his role as Process Ow","Ministry of Defence","Ministry of Defence","Joint Forces Command","01543 434187","SGSecFin-SecGpMailbox@mod.uk","1853147","0","1.00","N/A","N/A","","Policy","","1"
"185057","N/D","SCS1","DEFAC HQ Head of Corporate Services","Leads the Defence Academy Headquarters, supports and deputises for the Head of the Defence Academy","Ministry of Defence","Ministry of Defence","Joint Forces Command","01793 785426","DEFAC-HQCHFCLK@mod.uk","1758283","0","1.00","N/A","N/A","","Policy","","1"
"191133","N/D","SCS1","Assistant Chief of Staff Finance and Civilian Support to Operations (J8)","Responsible for Finance and Civilian Support to Operations.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","198582","0","1.00","N/A","N/A","","Policy","","1"
"192717","N/D","SCS1","ISS Head of Finance","Professional head of Finance within the Information Systems and Services Operating Centre, responsible for financial planning, in year management, financial accounting and financial assurance and approvals","Ministry of Defence","Ministry of Defence","Joint Forces Command","02072182636","ISSHQ-MB-GROUPMAILBOX@MOD.UK","2668003","0","1.00","N/A","N/A","","Finance","","1"
"210462","N/D","SCS1","ISS Head of New Style of IT","The New Style of IT (NSoIT) is  a modern communications and collaboration platform that enables information sharing and all the functionality to do our job in MOD . NSoIT will deliver an ICT platform that is designed to keep pace with industry technology developments based around the Microsoft Office 365 platform. As new functionality is released to the public our platform will also receive it. This will deliver significant opportunities for  MOD  to exploit the latest capabilities offered by Microsoft, HP and other industry partners.","Ministry of Defence","Ministry of Defence","Joint Forces Command","02072182636","ISSHQ-MB-GROUPMAILBOX@MOD.UK","33009","0","1.00","N/A","N/A","","Information Technology","Temporary promotion","1"
"197554","N/D","SCS1","Deputy Director Resources Joint Forces Command","Management of the circa £1.2bn Joint Forces Command operating budget on a day to day basis.  Responsibility for in year management and reporting as well as long tem planning.  Portfolio Manager for the circa £2.0Bn Joint Enabler Portfolio, with responsibility for monitoring and advising on Portfolio Progress and providing decision support to the Portfolio Direction Group.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955846","PJHQ-J8-FOI-Group@mod.uk","94472","0","1.00","N/A","N/A","","Policy","","1"
